species,display_name,base_form_group,type1,type2,egggroup1,egggroup2,hp,atk,def,spe,spa,spd,bst,form_type,category_group,excluded_from_normal_pool,exclusion_reason
SPECIES_FLAAFFY,Flaaffy,SPECIES_FLAAFFY,ELECTRIC,ELECTRIC,MONSTER,FIELD,70,55,55,45,80,60,365,base,normal,0,
SPECIES_AMPHAROS,Ampharos,SPECIES_AMPHAROS,ELECTRIC,ELECTRIC,MONSTER,FIELD,90,75,85,55,115,90,510,base,normal,0,
SPECIES_BELLOSSOM,Bellossom,SPECIES_BELLOSSOM,GRASS,GRASS,GRASS,GRASS,75,80,95,50,90,100,490,base,normal,0,
SPECIES_MARILL,Marill,SPECIES_MARILL,WATER,FAIRY,WATER_1,FAIRY,70,20,50,40,20,50,250,base,normal,0,
SPECIES_AZUMARILL,Azumarill,SPECIES_AZUMARILL,WATER,FAIRY,WATER_1,FAIRY,100,50,80,50,60,80,420,base,normal,0,
SPECIES_SUDOWOODO,Sudowoodo,SPECIES_SUDOWOODO,ROCK,ROCK,MINERAL,MINERAL,70,100,115,30,30,65,410,base,normal,0,
SPECIES_POLITOED,Politoed,SPECIES_POLITOED,WATER,WATER,WATER_1,WATER_1,90,75,75,70,90,100,500,base,normal,0,
SPECIES_HOPPIP,Hoppip,SPECIES_HOPPIP,GRASS,FLYING,FAIRY,GRASS,35,35,40,50,35,55,250,base,normal,0,
SPECIES_SKIPLOOM,Skiploom,SPECIES_SKIPLOOM,GRASS,FLYING,FAIRY,GRASS,55,45,50,80,45,65,340,base,normal,0,
SPECIES_JUMPLUFF,Jumpluff,SPECIES_JUMPLUFF,GRASS,FLYING,FAIRY,GRASS,75,55,70,110,55,95,460,base,normal,0,
SPECIES_AIPOM,Aipom,SPECIES_AIPOM,NORMAL,NORMAL,FIELD,FIELD,55,70,55,85,40,55,360,base,normal,0,
SPECIES_SUNKERN,Sunkern,SPECIES_SUNKERN,GRASS,GRASS,GRASS,GRASS,30,30,30,30,30,30,180,base,normal,0,
SPECIES_SUNFLORA,Sunflora,SPECIES_SUNFLORA,GRASS,GRASS,GRASS,GRASS,75,75,55,30,105,85,425,base,normal,0,
SPECIES_YANMA,Yanma,SPECIES_YANMA,BUG,FLYING,BUG,BUG,65,65,45,95,75,45,390,base,normal,0,
SPECIES_WOOPER,Wooper,SPECIES_WOOPER,WATER,GROUND,WATER_1,FIELD,55,45,45,15,25,25,210,base,normal,0,
SPECIES_QUAGSIRE,Quagsire,SPECIES_QUAGSIRE,WATER,GROUND,WATER_1,FIELD,95,85,85,35,65,65,430,base,normal,0,
SPECIES_ESPEON,Espeon,SPECIES_ESPEON,PSYCHIC,PSYCHIC,FIELD,FIELD,65,65,60,110,130,95,525,base,normal,0,
SPECIES_UMBREON,Umbreon,SPECIES_UMBREON,DARK,DARK,FIELD,FIELD,95,65,110,65,60,130,525,base,normal,0,
SPECIES_MURKROW,Murkrow,SPECIES_MURKROW,DARK,FLYING,FLYING,FLYING,60,85,42,91,85,42,405,base,normal,0,
SPECIES_SLOWKING,Slowking,SPECIES_SLOWKING,WATER,PSYCHIC,MONSTER,WATER_1,95,75,80,30,100,110,490,base,normal,0,
SPECIES_MISDREAVUS,Misdreavus,SPECIES_MISDREAVUS,GHOST,GHOST,AMORPHOUS,AMORPHOUS,60,60,60,85,85,85,435,base,normal,0,
SPECIES_UNOWN,Unown,SPECIES_UNOWN,PSYCHIC,PSYCHIC,UNDISCOVERED,UNDISCOVERED,48,72,48,48,72,48,336,base,normal,0,
SPECIES_WOBBUFFET,Wobbuffet,SPECIES_WOBBUFFET,PSYCHIC,PSYCHIC,AMORPHOUS,AMORPHOUS,190,33,58,33,33,58,405,base,normal,0,
SPECIES_GIRAFARIG,Girafarig,SPECIES_GIRAFARIG,NORMAL,PSYCHIC,FIELD,FIELD,70,80,65,85,90,65,455,base,normal,0,
SPECIES_PINECO,Pineco,SPECIES_PINECO,BUG,BUG,BUG,BUG,50,65,90,15,35,35,290,base,normal,0,
SPECIES_FORRETRESS,Forretress,SPECIES_FORRETRESS,BUG,STEEL,BUG,BUG,75,90,140,40,60,60,465,base,normal,0,
SPECIES_DUNSPARCE,Dunsparce,SPECIES_DUNSPARCE,NORMAL,NORMAL,FIELD,FIELD,100,70,70,45,65,65,415,base,normal,0,
SPECIES_GLIGAR,Gligar,SPECIES_GLIGAR,GROUND,FLYING,BUG,BUG,65,75,105,85,35,65,430,base,normal,0,
SPECIES_STEELIX,Steelix,SPECIES_STEELIX,STEEL,GROUND,MINERAL,MINERAL,75,85,200,30,55,65,510,base,normal,0,
SPECIES_SNUBBULL,Snubbull,SPECIES_SNUBBULL,FAIRY,FAIRY,FIELD,FAIRY,60,80,50,30,40,40,300,base,normal,0,
SPECIES_GRANBULL,Granbull,SPECIES_GRANBULL,FAIRY,FAIRY,FIELD,FAIRY,90,120,75,45,60,60,450,base,normal,0,
SPECIES_QWILFISH,Qwilfish,SPECIES_QWILFISH,WATER,POISON,WATER_2,WATER_2,65,95,85,85,55,55,440,base,normal,0,
SPECIES_SCIZOR,Scizor,SPECIES_SCIZOR,BUG,STEEL,BUG,BUG,70,130,100,65,55,80,500,base,normal,0,
SPECIES_SHUCKLE,Shuckle,SPECIES_SHUCKLE,BUG,ROCK,BUG,BUG,20,10,230,5,10,230,505,base,normal,0,
SPECIES_HERACROSS,Heracross,SPECIES_HERACROSS,BUG,FIGHTING,BUG,BUG,80,125,75,85,40,95,500,base,normal,0,
SPECIES_SNEASEL,Sneasel,SPECIES_SNEASEL,DARK,ICE,FIELD,FIELD,55,95,55,115,35,75,430,base,normal,0,
SPECIES_TEDDIURSA,Teddiursa,SPECIES_TEDDIURSA,NORMAL,NORMAL,FIELD,FIELD,60,80,50,40,50,50,330,base,normal,0,
SPECIES_URSARING,Ursaring,SPECIES_URSARING,NORMAL,NORMAL,FIELD,FIELD,90,130,75,55,75,75,500,base,normal,0,
SPECIES_SLUGMA,Slugma,SPECIES_SLUGMA,FIRE,FIRE,AMORPHOUS,AMORPHOUS,40,40,40,20,70,40,250,base,normal,0,
SPECIES_MAGCARGO,Magcargo,SPECIES_MAGCARGO,FIRE,ROCK,AMORPHOUS,AMORPHOUS,60,50,120,30,90,80,430,base,normal,0,
SPECIES_SWINUB,Swinub,SPECIES_SWINUB,ICE,GROUND,FIELD,FIELD,50,50,40,50,30,30,250,base,normal,0,
SPECIES_PILOSWINE,Piloswine,SPECIES_PILOSWINE,ICE,GROUND,FIELD,FIELD,100,100,80,50,60,60,450,base,normal,0,
SPECIES_CORSOLA,Corsola,SPECIES_CORSOLA,WATER,ROCK,WATER_1,WATER_3,65,55,95,35,65,95,410,base,normal,0,
SPECIES_REMORAID,Remoraid,SPECIES_REMORAID,WATER,WATER,WATER_1,WATER_2,35,65,35,65,65,35,300,base,normal,0,
SPECIES_OCTILLERY,Octillery,SPECIES_OCTILLERY,WATER,WATER,WATER_1,WATER_2,75,105,75,45,105,75,480,base,normal,0,
SPECIES_DELIBIRD,Delibird,SPECIES_DELIBIRD,ICE,FLYING,WATER_1,FIELD,45,55,45,75,65,45,330,base,normal,0,
SPECIES_MANTINE,Mantine,SPECIES_MANTINE,WATER,FLYING,WATER_1,WATER_1,85,40,70,70,80,140,485,base,normal,0,
SPECIES_SKARMORY,Skarmory,SPECIES_SKARMORY,STEEL,FLYING,FLYING,FLYING,65,80,140,70,40,70,465,base,normal,0,
SPECIES_HOUNDOUR,Houndour,SPECIES_HOUNDOUR,DARK,FIRE,FIELD,FIELD,45,60,30,65,80,50,330,base,normal,0,
SPECIES_HOUNDOOM,Houndoom,SPECIES_HOUNDOOM,DARK,FIRE,FIELD,FIELD,75,90,50,95,110,80,500,base,normal,0,
SPECIES_KINGDRA,Kingdra,SPECIES_KINGDRA,WATER,DRAGON,WATER_1,DRAGON,75,95,95,85,95,95,540,base,normal,0,
SPECIES_PHANPY,Phanpy,SPECIES_PHANPY,GROUND,GROUND,FIELD,FIELD,90,60,60,40,40,40,330,base,normal,0,
SPECIES_DONPHAN,Donphan,SPECIES_DONPHAN,GROUND,GROUND,FIELD,FIELD,90,120,120,50,60,60,500,base,normal,0,
SPECIES_PORYGON2,Porygon2,SPECIES_PORYGON2,NORMAL,NORMAL,MINERAL,MINERAL,85,80,90,60,105,95,515,base,normal,0,
SPECIES_STANTLER,Stantler,SPECIES_STANTLER,NORMAL,NORMAL,FIELD,FIELD,73,95,62,85,85,65,465,base,normal,0,
SPECIES_SMEARGLE,Smeargle,SPECIES_SMEARGLE,NORMAL,NORMAL,FIELD,FIELD,55,20,35,75,20,45,250,base,normal,0,
SPECIES_TYROGUE,Tyrogue,SPECIES_TYROGUE,FIGHTING,FIGHTING,UNDISCOVERED,UNDISCOVERED,35,35,35,35,35,35,210,base,normal,0,
SPECIES_HITMONTOP,Hitmontop,SPECIES_HITMONTOP,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,50,95,95,70,35,110,455,base,normal,0,
SPECIES_SMOOCHUM,Smoochum,SPECIES_SMOOCHUM,ICE,PSYCHIC,UNDISCOVERED,UNDISCOVERED,45,30,15,65,85,65,305,base,normal,0,
SPECIES_ELEKID,Elekid,SPECIES_ELEKID,ELECTRIC,ELECTRIC,UNDISCOVERED,UNDISCOVERED,45,63,37,95,65,55,360,base,normal,0,
SPECIES_MAGBY,Magby,SPECIES_MAGBY,FIRE,FIRE,UNDISCOVERED,UNDISCOVERED,45,75,37,83,70,55,365,base,normal,0,
SPECIES_MILTANK,Miltank,SPECIES_MILTANK,NORMAL,NORMAL,FIELD,FIELD,95,80,105,100,40,70,490,base,normal,0,
SPECIES_BLISSEY,Blissey,SPECIES_BLISSEY,NORMAL,NORMAL,FAIRY,FAIRY,255,10,10,55,75,135,540,base,normal,0,
SPECIES_RAIKOU,Raikou,SPECIES_RAIKOU,ELECTRIC,ELECTRIC,UNDISCOVERED,UNDISCOVERED,90,85,75,115,115,100,580,base,sublegend,1,sublegend
SPECIES_ENTEI,Entei,SPECIES_ENTEI,FIRE,FIRE,UNDISCOVERED,UNDISCOVERED,115,115,85,100,90,75,580,base,sublegend,1,sublegend
SPECIES_SUICUNE,Suicune,SPECIES_SUICUNE,WATER,WATER,UNDISCOVERED,UNDISCOVERED,100,75,115,85,90,115,580,base,sublegend,1,sublegend
SPECIES_LARVITAR,Larvitar,SPECIES_LARVITAR,ROCK,GROUND,MONSTER,MONSTER,50,64,50,41,45,50,300,base,normal,0,
SPECIES_PUPITAR,Pupitar,SPECIES_PUPITAR,ROCK,GROUND,MONSTER,MONSTER,70,84,70,51,65,70,410,base,normal,0,
SPECIES_TYRANITAR,Tyranitar,SPECIES_TYRANITAR,ROCK,DARK,MONSTER,MONSTER,100,134,110,61,95,100,600,base,normal,0,
SPECIES_LUGIA,Lugia,SPECIES_LUGIA,PSYCHIC,FLYING,UNDISCOVERED,UNDISCOVERED,106,90,130,110,90,154,680,base,legendary,1,legendary
SPECIES_HO_OH,Ho-oh,SPECIES_HO_OH,FIRE,FLYING,UNDISCOVERED,UNDISCOVERED,106,130,90,90,110,154,680,base,legendary,1,legendary
SPECIES_CELEBI,Celebi,SPECIES_CELEBI,PSYCHIC,GRASS,UNDISCOVERED,UNDISCOVERED,100,100,100,100,100,100,600,base,mythical,1,mythical
SPECIES_TREECKO,Treecko,SPECIES_TREECKO,GRASS,GRASS,MONSTER,DRAGON,40,45,35,70,65,55,310,base,normal,0,
SPECIES_GROVYLE,Grovyle,SPECIES_GROVYLE,GRASS,GRASS,MONSTER,DRAGON,50,65,45,95,85,65,405,base,normal,0,
SPECIES_SCEPTILE,Sceptile,SPECIES_SCEPTILE,GRASS,GRASS,MONSTER,DRAGON,70,85,65,120,105,85,530,base,normal,0,
SPECIES_TORCHIC,Torchic,SPECIES_TORCHIC,FIRE,FIRE,FIELD,FIELD,45,60,40,45,70,50,310,base,normal,0,
SPECIES_COMBUSKEN,Combusken,SPECIES_COMBUSKEN,FIRE,FIGHTING,FIELD,FIELD,60,85,60,55,85,60,405,base,normal,0,
SPECIES_BLAZIKEN,Blaziken,SPECIES_BLAZIKEN,FIRE,FIGHTING,FIELD,FIELD,80,120,70,80,110,70,530,base,normal,0,
SPECIES_MUDKIP,Mudkip,SPECIES_MUDKIP,WATER,WATER,MONSTER,WATER_1,50,70,50,40,50,50,310,base,normal,0,
SPECIES_MARSHTOMP,Marshtomp,SPECIES_MARSHTOMP,WATER,GROUND,MONSTER,WATER_1,70,85,70,50,60,70,405,base,normal,0,
SPECIES_SWAMPERT,Swampert,SPECIES_SWAMPERT,WATER,GROUND,MONSTER,WATER_1,100,110,90,60,85,90,535,base,normal,0,
SPECIES_POOCHYENA,Poochyena,SPECIES_POOCHYENA,DARK,DARK,FIELD,FIELD,35,55,35,35,30,30,220,base,normal,0,
SPECIES_MIGHTYENA,Mightyena,SPECIES_MIGHTYENA,DARK,DARK,FIELD,FIELD,70,90,70,70,60,60,420,base,normal,0,
SPECIES_ZIGZAGOON,Zigzagoon,SPECIES_ZIGZAGOON,NORMAL,NORMAL,FIELD,FIELD,38,30,41,60,30,41,240,base,normal,0,
SPECIES_LINOONE,Linoone,SPECIES_LINOONE,NORMAL,NORMAL,FIELD,FIELD,78,70,61,100,50,61,420,base,normal,0,
SPECIES_WURMPLE,Wurmple,SPECIES_WURMPLE,BUG,BUG,BUG,BUG,45,45,35,20,20,30,195,base,normal,0,
SPECIES_SILCOON,Silcoon,SPECIES_SILCOON,BUG,BUG,BUG,BUG,50,35,55,15,25,25,205,base,normal,0,
SPECIES_BEAUTIFLY,Beautifly,SPECIES_BEAUTIFLY,BUG,FLYING,BUG,BUG,60,70,50,65,100,50,395,base,normal,0,
SPECIES_CASCOON,Cascoon,SPECIES_CASCOON,BUG,BUG,BUG,BUG,50,35,55,15,25,25,205,base,normal,0,
SPECIES_DUSTOX,Dustox,SPECIES_DUSTOX,BUG,POISON,BUG,BUG,60,50,70,65,50,90,385,base,normal,0,
SPECIES_LOTAD,Lotad,SPECIES_LOTAD,WATER,GRASS,WATER_1,GRASS,40,30,30,30,40,50,220,base,normal,0,
SPECIES_LOMBRE,Lombre,SPECIES_LOMBRE,WATER,GRASS,WATER_1,GRASS,60,50,50,50,60,70,340,base,normal,0,
SPECIES_LUDICOLO,Ludicolo,SPECIES_LUDICOLO,WATER,GRASS,WATER_1,GRASS,80,70,70,70,90,100,480,base,normal,0,
SPECIES_SEEDOT,Seedot,SPECIES_SEEDOT,GRASS,GRASS,FIELD,GRASS,40,40,50,30,30,30,220,base,normal,0,
SPECIES_NUZLEAF,Nuzleaf,SPECIES_NUZLEAF,GRASS,DARK,FIELD,GRASS,70,70,40,60,60,40,340,base,normal,0,
SPECIES_SHIFTRY,Shiftry,SPECIES_SHIFTRY,GRASS,DARK,FIELD,GRASS,90,100,60,80,90,60,480,base,normal,0,
SPECIES_TAILLOW,Taillow,SPECIES_TAILLOW,NORMAL,FLYING,FLYING,FLYING,40,55,30,85,30,30,270,base,normal,0,
SPECIES_SWELLOW,Swellow,SPECIES_SWELLOW,NORMAL,FLYING,FLYING,FLYING,60,85,60,125,75,50,455,base,normal,0,
SPECIES_WINGULL,Wingull,SPECIES_WINGULL,WATER,FLYING,WATER_1,FLYING,40,30,30,85,55,30,270,base,normal,0,
SPECIES_PELIPPER,Pelipper,SPECIES_PELIPPER,WATER,FLYING,WATER_1,FLYING,60,50,100,65,95,70,440,base,normal,0,
SPECIES_RALTS,Ralts,SPECIES_RALTS,PSYCHIC,FAIRY,HUMAN_LIKE,AMORPHOUS,28,25,25,40,45,35,198,base,normal,0,
SPECIES_KIRLIA,Kirlia,SPECIES_KIRLIA,PSYCHIC,FAIRY,HUMAN_LIKE,AMORPHOUS,38,35,35,50,65,55,278,base,normal,0,
SPECIES_GARDEVOIR,Gardevoir,SPECIES_GARDEVOIR,PSYCHIC,FAIRY,HUMAN_LIKE,AMORPHOUS,68,65,65,80,125,115,518,base,normal,0,
SPECIES_SURSKIT,Surskit,SPECIES_SURSKIT,BUG,WATER,WATER_1,BUG,40,30,32,65,50,52,269,base,normal,0,
SPECIES_MASQUERAIN,Masquerain,SPECIES_MASQUERAIN,BUG,FLYING,WATER_1,BUG,70,60,62,80,100,82,454,base,normal,0,
SPECIES_SHROOMISH,Shroomish,SPECIES_SHROOMISH,GRASS,GRASS,FAIRY,GRASS,60,40,60,35,40,60,295,base,normal,0,
SPECIES_BRELOOM,Breloom,SPECIES_BRELOOM,GRASS,FIGHTING,FAIRY,GRASS,60,130,80,70,60,60,460,base,normal,0,
SPECIES_SLAKOTH,Slakoth,SPECIES_SLAKOTH,NORMAL,NORMAL,FIELD,FIELD,60,60,60,30,35,35,280,base,normal,0,
SPECIES_VIGOROTH,Vigoroth,SPECIES_VIGOROTH,NORMAL,NORMAL,FIELD,FIELD,80,80,80,90,55,55,440,base,normal,0,
SPECIES_SLAKING,Slaking,SPECIES_SLAKING,NORMAL,NORMAL,FIELD,FIELD,150,160,100,100,95,65,670,base,normal,0,
SPECIES_NINCADA,Nincada,SPECIES_NINCADA,BUG,GROUND,BUG,BUG,31,45,90,40,30,30,266,base,normal,0,
SPECIES_NINJASK,Ninjask,SPECIES_NINJASK,BUG,FLYING,BUG,BUG,61,90,45,160,50,50,456,base,normal,0,
SPECIES_SHEDINJA,Shedinja,SPECIES_SHEDINJA,BUG,GHOST,MINERAL,MINERAL,1,90,45,40,30,30,236,base,normal,0,
SPECIES_WHISMUR,Whismur,SPECIES_WHISMUR,NORMAL,NORMAL,MONSTER,FIELD,64,51,23,28,51,23,240,base,normal,0,
SPECIES_LOUDRED,Loudred,SPECIES_LOUDRED,NORMAL,NORMAL,MONSTER,FIELD,84,71,43,48,71,43,360,base,normal,0,
SPECIES_EXPLOUD,Exploud,SPECIES_EXPLOUD,NORMAL,NORMAL,MONSTER,FIELD,104,91,63,68,91,73,490,base,normal,0,
SPECIES_MAKUHITA,Makuhita,SPECIES_MAKUHITA,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,72,60,30,25,20,30,237,base,normal,0,
SPECIES_HARIYAMA,Hariyama,SPECIES_HARIYAMA,FIGHTING,FIGHTING,HUMAN_LIKE,HUMAN_LIKE,144,120,60,50,40,60,474,base,normal,0,
SPECIES_AZURILL,Azurill,SPECIES_AZURILL,NORMAL,FAIRY,UNDISCOVERED,UNDISCOVERED,50,20,40,20,20,40,190,base,normal,0,
SPECIES_NOSEPASS,Nosepass,SPECIES_NOSEPASS,ROCK,ROCK,MINERAL,MINERAL,30,45,135,30,45,90,375,base,normal,0,
SPECIES_SKITTY,Skitty,SPECIES_SKITTY,NORMAL,NORMAL,FIELD,FAIRY,50,45,45,50,35,35,260,base,normal,0,
SPECIES_DELCATTY,Delcatty,SPECIES_DELCATTY,NORMAL,NORMAL,FIELD,FAIRY,70,65,65,90,55,55,400,base,normal,0,
SPECIES_SABLEYE,Sableye,SPECIES_SABLEYE,DARK,GHOST,HUMAN_LIKE,HUMAN_LIKE,50,75,75,50,65,65,380,base,normal,0,
SPECIES_MAWILE,Mawile,SPECIES_MAWILE,STEEL,FAIRY,FIELD,FAIRY,50,85,85,50,55,55,380,base,normal,0,
SPECIES_ARON,Aron,SPECIES_ARON,STEEL,ROCK,MONSTER,MONSTER,50,70,100,30,40,40,330,base,normal,0,
SPECIES_LAIRON,Lairon,SPECIES_LAIRON,STEEL,ROCK,MONSTER,MONSTER,60,90,140,40,50,50,430,base,normal,0,
SPECIES_AGGRON,Aggron,SPECIES_AGGRON,STEEL,ROCK,MONSTER,MONSTER,70,110,180,50,60,60,530,base,normal,0,
SPECIES_MEDITITE,Meditite,SPECIES_MEDITITE,FIGHTING,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,30,40,55,60,40,55,280,base,normal,0,
SPECIES_MEDICHAM,Medicham,SPECIES_MEDICHAM,FIGHTING,PSYCHIC,HUMAN_LIKE,HUMAN_LIKE,60,60,75,80,60,75,410,base,normal,0,
SPECIES_ELECTRIKE,Electrike,SPECIES_ELECTRIKE,ELECTRIC,ELECTRIC,FIELD,FIELD,40,45,40,65,65,40,295,base,normal,0,
SPECIES_MANECTRIC,Manectric,SPECIES_MANECTRIC,ELECTRIC,ELECTRIC,FIELD,FIELD,70,75,60,105,105,60,475,base,normal,0,
SPECIES_PLUSLE,Plusle,SPECIES_PLUSLE,ELECTRIC,ELECTRIC,FAIRY,FAIRY,60,50,40,95,85,75,405,base,normal,0,
SPECIES_MINUN,Minun,SPECIES_MINUN,ELECTRIC,ELECTRIC,FAIRY,FAIRY,60,40,50,95,75,85,405,base,normal,0,
SPECIES_VOLBEAT,Volbeat,SPECIES_VOLBEAT,BUG,BUG,BUG,HUMAN_LIKE,65,73,75,85,47,85,430,base,normal,0,
SPECIES_ILLUMISE,Illumise,SPECIES_ILLUMISE,BUG,BUG,BUG,HUMAN_LIKE,65,47,75,85,73,85,430,base,normal,0,
SPECIES_ROSELIA,Roselia,SPECIES_ROSELIA,GRASS,POISON,FAIRY,GRASS,50,60,45,65,100,80,400,base,normal,0,
SPECIES_GULPIN,Gulpin,SPECIES_GULPIN,POISON,POISON,AMORPHOUS,AMORPHOUS,70,43,53,40,43,53,302,base,normal,0,
SPECIES_SWALOT,Swalot,SPECIES_SWALOT,POISON,POISON,AMORPHOUS,AMORPHOUS,100,73,83,55,73,83,467,base,normal,0,
SPECIES_CARVANHA,Carvanha,SPECIES_CARVANHA,WATER,DARK,WATER_2,WATER_2,45,90,20,65,65,20,305,base,normal,0,
SPECIES_SHARPEDO,Sharpedo,SPECIES_SHARPEDO,WATER,DARK,WATER_2,WATER_2,70,120,40,95,95,40,460,base,normal,0,
SPECIES_WAILMER,Wailmer,SPECIES_WAILMER,WATER,WATER,FIELD,WATER_2,130,70,35,60,70,35,400,base,normal,0,
SPECIES_WAILORD,Wailord,SPECIES_WAILORD,WATER,WATER,FIELD,WATER_2,170,90,45,60,90,45,500,base,normal,0,
SPECIES_NUMEL,Numel,SPECIES_NUMEL,FIRE,GROUND,FIELD,FIELD,60,60,40,35,65,45,305,base,normal,0,
SPECIES_CAMERUPT,Camerupt,SPECIES_CAMERUPT,FIRE,GROUND,FIELD,FIELD,70,100,70,40,105,75,460,base,normal,0,
SPECIES_TORKOAL,Torkoal,SPECIES_TORKOAL,FIRE,FIRE,FIELD,FIELD,70,85,140,20,85,70,470,base,normal,0,
SPECIES_SPOINK,Spoink,SPECIES_SPOINK,PSYCHIC,PSYCHIC,FIELD,FIELD,60,25,35,60,70,80,330,base,normal,0,
SPECIES_GRUMPIG,Grumpig,SPECIES_GRUMPIG,PSYCHIC,PSYCHIC,FIELD,FIELD,80,45,65,80,90,110,470,base,normal,0,
SPECIES_SPINDA,Spinda,SPECIES_SPINDA,NORMAL,NORMAL,FIELD,HUMAN_LIKE,60,60,60,60,60,60,360,base,normal,0,
SPECIES_TRAPINCH,Trapinch,SPECIES_TRAPINCH,GROUND,GROUND,BUG,DRAGON,45,100,45,10,45,45,290,base,normal,0,
SPECIES_VIBRAVA,Vibrava,SPECIES_VIBRAVA,GROUND,DRAGON,BUG,DRAGON,50,70,50,70,50,50,340,base,normal,0,
SPECIES_FLYGON,Flygon,SPECIES_FLYGON,GROUND,DRAGON,BUG,DRAGON,80,100,80,100,80,80,520,base,normal,0,
SPECIES_CACNEA,Cacnea,SPECIES_CACNEA,GRASS,GRASS,GRASS,HUMAN_LIKE,50,85,40,35,85,40,335,base,normal,0,
SPECIES_CACTURNE,Cacturne,SPECIES_CACTURNE,GRASS,DARK,GRASS,HUMAN_LIKE,70,115,60,55,115,60,475,base,normal,0,
SPECIES_SWABLU,Swablu,SPECIES_SWABLU,NORMAL,FLYING,FLYING,DRAGON,45,40,60,50,40,75,310,base,normal,0,
SPECIES_ALTARIA,Altaria,SPECIES_ALTARIA,DRAGON,FLYING,FLYING,DRAGON,75,70,90,80,70,105,490,base,normal,0,
SPECIES_ZANGOOSE,Zangoose,SPECIES_ZANGOOSE,NORMAL,NORMAL,FIELD,FIELD,73,115,60,90,60,60,458,base,normal,0,
SPECIES_SEVIPER,Seviper,SPECIES_SEVIPER,POISON,POISON,FIELD,DRAGON,73,100,60,65,100,60,458,base,normal,0,
SPECIES_LUNATONE,Lunatone,SPECIES_LUNATONE,ROCK,PSYCHIC,MINERAL,MINERAL,90,55,65,70,95,85,460,base,normal,0,
SPECIES_SOLROCK,Solrock,SPECIES_SOLROCK,ROCK,PSYCHIC,MINERAL,MINERAL,90,95,85,70,55,65,460,base,normal,0,
SPECIES_BARBOACH,Barboach,SPECIES_BARBOACH,WATER,GROUND,WATER_2,WATER_2,50,48,43,60,46,41,288,base,normal,0,
SPECIES_WHISCASH,Whiscash,SPECIES_WHISCASH,WATER,GROUND,WATER_2,WATER_2,110,78,73,60,76,71,468,base,normal,0,
SPECIES_CORPHISH,Corphish,SPECIES_CORPHISH,WATER,WATER,WATER_1,WATER_3,43,80,65,35,50,35,308,base,normal,0,
SPECIES_CRAWDAUNT,Crawdaunt,SPECIES_CRAWDAUNT,WATER,DARK,WATER_1,WATER_3,63,120,85,55,90,55,468,base,normal,0,
SPECIES_BALTOY,Baltoy,SPECIES_BALTOY,GROUND,PSYCHIC,MINERAL,MINERAL,40,40,55,55,40,70,300,base,normal,0,
SPECIES_CLAYDOL,Claydol,SPECIES_CLAYDOL,GROUND,PSYCHIC,MINERAL,MINERAL,60,70,105,75,70,120,500,base,normal,0,
SPECIES_LILEEP,Lileep,SPECIES_LILEEP,ROCK,GRASS,WATER_3,WATER_3,66,41,77,23,61,87,355,base,normal,0,
SPECIES_CRADILY,Cradily,SPECIES_CRADILY,ROCK,GRASS,WATER_3,WATER_3,86,81,97,43,81,107,495,base,normal,0,
SPECIES_ANORITH,Anorith,SPECIES_ANORITH,ROCK,BUG,WATER_3,WATER_3,45,95,50,75,40,50,355,base,normal,0,
SPECIES_ARMALDO,Armaldo,SPECIES_ARMALDO,ROCK,BUG,WATER_3,WATER_3,75,125,100,45,70,80,495,base,normal,0,
SPECIES_FEEBAS,Feebas,SPECIES_FEEBAS,WATER,WATER,WATER_1,DRAGON,20,15,20,80,10,55,200,base,normal,0,
SPECIES_MILOTIC,Milotic,SPECIES_MILOTIC,WATER,WATER,WATER_1,DRAGON,95,60,79,81,100,125,540,base,normal,0,
SPECIES_CASTFORM,Castform,SPECIES_CASTFORM,NORMAL,NORMAL,FAIRY,AMORPHOUS,70,70,70,70,70,70,420,base,normal,0,
SPECIES_KECLEON,Kecleon,SPECIES_KECLEON,NORMAL,NORMAL,FIELD,FIELD,60,90,70,40,60,120,440,base,normal,0,
SPECIES_SHUPPET,Shuppet,SPECIES_SHUPPET,GHOST,GHOST,AMORPHOUS,AMORPHOUS,44,75,35,45,63,33,295,base,normal,0,
SPECIES_BANETTE,Banette,SPECIES_BANETTE,GHOST,GHOST,AMORPHOUS,AMORPHOUS,64,115,65,65,83,63,455,base,normal,0,
SPECIES_DUSKULL,Duskull,SPECIES_DUSKULL,GHOST,GHOST,AMORPHOUS,AMORPHOUS,20,40,90,25,30,90,295,base,normal,0,
SPECIES_DUSCLOPS,Dusclops,SPECIES_DUSCLOPS,GHOST,GHOST,AMORPHOUS,AMORPHOUS,40,70,130,25,60,130,455,base,normal,0,
SPECIES_TROPIUS,Tropius,SPECIES_TROPIUS,GRASS,FLYING,MONSTER,GRASS,99,68,83,51,72,87,460,base,normal,0,
SPECIES_CHIMECHO,Chimecho,SPECIES_CHIMECHO,PSYCHIC,PSYCHIC,AMORPHOUS,AMORPHOUS,75,50,80,65,95,90,455,base,normal,0,
SPECIES_ABSOL,Absol,SPECIES_ABSOL,DARK,DARK,FIELD,FIELD,65,130,60,75,75,60,465,base,normal,0,
